,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,CRS_DEP_TIME,DEP_TIME,TAXI_OUT,TAXI_IN,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DEP_DELAY
728,5.0,31.0,2.0,1,1320.0,1326.0,24.0,6.0,125.0,133.0,6.0
729,6.0,29.0,3.0,8,1320.0,1315.0,22.0,4.0,53.0,46.0,-5.0
730,6.0,12.0,7.0,8,1024.0,1018.0,18.0,12.0,60.0,67.0,-6.0
731,7.0,14.0,4.0,8,745.0,747.0,16.0,5.0,85.0,68.0,2.0
732,10.0,15.0,6.0,6,1750.0,1748.0,8.0,4.0,176.0,153.0,-2.0
735,10.0,22.0,6.0,2,750.0,747.0,13.0,7.0,144.0,127.0,-3.0
736,10.0,15.0,6.0,7,2005.0,2005.0,14.0,9.0,97.0,86.0,0.0
737,2.0,11.0,4.0,8,1631.0,1627.0,10.0,5.0,69.0,66.0,-4.0
738,4.0,25.0,1.0,7,1908.0,1904.0,9.0,8.0,134.0,115.0,-4.0
739,10.0,17.0,1.0,1,1350.0,1351.0,17.0,6.0,70.0,64.0,1.0
740,6.0,14.0,2.0,7,1130.0,1137.0,19.0,5.0,134.0,128.0,7.0
741,4.0,13.0,3.0,5,1915.0,1907.0,8.0,7.0,214.0,197.0,-8.0
742,2.0,20.0,6.0,2,600.0,602.0,21.0,5.0,90.0,86.0,2.0
743,12.0,22.0,4.0,6,1706.0,1704.0,10.0,7.0,251.0,242.0,-2.0
744,9.0,9.0,5.0,1,1105.0,1100.0,10.0,4.0,75.0,70.0,-5.0
746,10.0,2.0,7.0,4,1725.0,1722.0,12.0,10.0,103.0,108.0,-3.0
747,6.0,5.0,7.0,1,1815.0,1813.0,11.0,4.0,85.0,78.0,-2.0
748,10.0,16.0,7.0,1,1835.0,1836.0,11.0,6.0,85.0,77.0,1.0
749,6.0,13.0,1.0,0,1125.0,1138.0,17.0,4.0,176.0,164.0,13.0
750,7.0,29.0,5.0,7,1635.0,1647.0,11.0,6.0,70.0,60.0,12.0
752,2.0,7.0,7.0,6,1853.0,1854.0,10.0,7.0,177.0,162.0,1.0
753,1.0,13.0,3.0,1,630.0,627.0,21.0,7.0,160.0,176.0,-3.0
754,10.0,30.0,7.0,1,1320.0,1343.0,14.0,3.0,75.0,76.0,23.0
755,6.0,30.0,4.0,8,1345.0,1343.0,17.0,5.0,95.0,93.0,-2.0
756,10.0,14.0,5.0,8,1045.0,1039.0,27.0,5.0,110.0,111.0,-6.0
757,7.0,6.0,3.0,8,1855.0,1903.0,19.0,8.0,96.0,90.0,8.0
758,4.0,20.0,3.0,1,2035.0,2031.0,8.0,3.0,170.0,147.0,-4.0
761,11.0,22.0,2.0,11,2155.0,2149.0,19.0,5.0,82.0,84.0,-6.0
764,8.0,9.0,2.0,8,600.0,550.0,9.0,6.0,127.0,125.0,-10.0
766,12.0,6.0,2.0,1,2100.0,2051.0,7.0,8.0,105.0,92.0,-9.0
767,12.0,26.0,1.0,1,730.0,729.0,12.0,6.0,140.0,123.0,-1.0
768,7.0,2.0,6.0,2,1531.0,1528.0,15.0,5.0,294.0,279.0,-3.0
769,11.0,26.0,6.0,8,1605.0,1601.0,13.0,4.0,71.0,78.0,-4.0
773,7.0,8.0,5.0,0,525.0,520.0,9.0,10.0,59.0,53.0,-5.0
774,6.0,9.0,4.0,8,955.0,951.0,26.0,5.0,169.0,166.0,-4.0
775,8.0,8.0,1.0,1,1540.0,1540.0,9.0,4.0,85.0,74.0,0.0
776,12.0,24.0,6.0,8,957.0,950.0,21.0,4.0,87.0,92.0,-7.0
777,6.0,19.0,7.0,1,910.0,904.0,8.0,8.0,75.0,72.0,-6.0
778,9.0,5.0,1.0,0,2015.0,2005.0,10.0,7.0,131.0,120.0,-10.0
780,7.0,12.0,2.0,0,1955.0,1955.0,15.0,9.0,125.0,117.0,0.0
782,9.0,28.0,3.0,2,2106.0,2103.0,13.0,5.0,129.0,114.0,-3.0
785,7.0,19.0,2.0,6,710.0,709.0,14.0,5.0,188.0,174.0,-1.0
786,2.0,2.0,2.0,1,1405.0,1358.0,12.0,4.0,90.0,93.0,-7.0
787,8.0,5.0,5.0,8,605.0,557.0,14.0,12.0,140.0,135.0,-8.0
788,6.0,18.0,6.0,0,959.0,952.0,13.0,4.0,95.0,82.0,-7.0
789,3.0,20.0,7.0,7,1630.0,1628.0,14.0,12.0,64.0,61.0,-2.0
790,12.0,28.0,3.0,0,2220.0,2212.0,24.0,5.0,86.0,92.0,-8.0
791,3.0,7.0,1.0,7,2330.0,2330.0,17.0,4.0,290.0,292.0,0.0
792,4.0,24.0,7.0,0,625.0,623.0,11.0,6.0,145.0,127.0,-2.0
794,3.0,2.0,3.0,1,1450.0,1448.0,12.0,12.0,95.0,93.0,-2.0
795,6.0,27.0,1.0,7,605.0,602.0,12.0,4.0,175.0,170.0,-3.0
797,7.0,13.0,3.0,1,850.0,845.0,8.0,5.0,160.0,137.0,-5.0
799,5.0,11.0,3.0,2,1736.0,1734.0,14.0,4.0,74.0,63.0,-2.0
800,3.0,10.0,4.0,2,1115.0,1112.0,14.0,7.0,120.0,114.0,-3.0
801,11.0,4.0,5.0,8,636.0,617.0,9.0,5.0,77.0,56.0,-19.0
802,1.0,16.0,6.0,1,840.0,836.0,18.0,3.0,95.0,81.0,-4.0
803,7.0,15.0,5.0,1,1545.0,1604.0,8.0,4.0,100.0,89.0,19.0
804,4.0,1.0,5.0,7,1546.0,1543.0,15.0,3.0,87.0,76.0,-3.0
806,8.0,16.0,2.0,8,1920.0,1912.0,12.0,5.0,97.0,85.0,-8.0
807,4.0,11.0,1.0,6,1745.0,1741.0,17.0,12.0,80.0,81.0,-4.0
808,6.0,15.0,3.0,2,2005.0,2003.0,18.0,8.0,106.0,99.0,-2.0
809,7.0,28.0,4.0,1,1105.0,1110.0,8.0,6.0,160.0,157.0,5.0
810,2.0,14.0,7.0,1,1310.0,1303.0,13.0,5.0,210.0,203.0,-7.0
812,3.0,12.0,6.0,8,1232.0,1226.0,18.0,7.0,104.0,103.0,-6.0
813,6.0,11.0,6.0,8,1905.0,1926.0,18.0,3.0,88.0,85.0,21.0
815,5.0,28.0,6.0,2,1600.0,1550.0,8.0,3.0,86.0,72.0,-10.0
816,7.0,13.0,3.0,1,1050.0,1048.0,7.0,5.0,75.0,70.0,-2.0
819,2.0,15.0,1.0,7,1410.0,1408.0,14.0,3.0,114.0,96.0,-2.0
